---
name: android_pinyin_simple
version: "0.1"
sort: by_weight
...
鼥	ba  1
霥	meng	1
鸏	meng	1
氋	meng	1
鄸	meng	1
蕄	meng	1
饛	meng	1
錳	meng	1
庬	meng	1
罞	meng	1
鄳	meng	1
甿	meng	2
鋂	meng	2
萠	meng	3
幪	meng	3
懞	meng	3
艨	meng	4
矇	meng	4
鼆	meng	5
儚	meng	5
氓	meng	6
曚	meng	6
蜢	meng	7
艋	meng	9
礞	meng	9
瞢	meng	10
甍	meng	10
蠓	meng	11
虻	meng	15
濛	meng	20
勐	meng	64
朦	meng	74
夢	meng	82
檬	meng	101
懵	meng	184
锰	meng	227
萌	meng	1005
盟	meng	1167
孟	meng	2173
蒙	meng	2192
猛	meng	4138
梦	meng	9302
攗	mei	1
堳	mei	1
塺	mei	1
蝞	mei	1
腜	mei	1
栂	mei	1
躾	mei	1
蘪	mei	1
燘	mei	1
挴	mei	1
徾	mei	1
痗	mei	1
瑂	mei	1
黴	mei	2
禖	mei	2
猸	mei	3
楳	mei	3
苺	mei	3
镅	mei	4
眛	mei	4
郿	mei	5
煝	mei	5
鹛	mei	7
糜	mei	7
渼	mei	7
媄	mei	8
鎂	mei	9
毎	mei	9
媺	mei	13
脢	mei	13
嵋	mei	14
沬	mei	17
浼	mei	31
楣	mei	71
袂	mei	86
莓	mei	95
湄	mei	110
寐	mei	138
昧	mei	220
魅	mei	313
沒	mei	318
镁	mei	366
玫	mei	366
媒	mei	434
霉	mei	516
媚	mei	730
枚	mei	952
酶	mei	1068
眉	mei	1214
煤	mei	1609
妹	mei	2507
梅	mei	3493
美	mei	17650
每	mei	19116
没	mei	295036
鸍	mi	1
麊	mi	1
塓	mi	1
熐	mi	1
蝆	mi	1
獼	mi	1
葞	mi	1
羃	mi	1
樒	mi	1
醾	mi	1
滵	mi	1
銤	mi	1
峚	mi	1
漞	mi	1
幦	mi	1
麛	mi	1
榓	mi	1
覛	mi	1
鼏	mi	1
蔝	mi	1
蔤	mi	1
爢	mi	1
渳	mi	1
灖	mi	2
蓂	mi	2
冞	mi	2
穈	mi	2
謐	mi	2
瀰	mi	2
羋	mi	2
幎	mi	2
祕	mi	3
猕	mi	4
瞇	mi	5
敉	mi	5
覓	mi	6
縻	mi	8
彌	mi	9
謎	mi	9
尒	mi	10
冪	mi	10
櫁	mi	12
汩	mi	13
脒	mi	14
麋	mi	14
嘧	mi	15
汨	mi	19
芈	mi	20
弭	mi	26
谧	mi	59
蘼	mi	62
泌	mi	62
宓	mi	69
幂	mi	75
祢	mi	89
糸	mi	95
尓	mi	110
醚	mi	112
糜	mi	127
靡	mi	134
眯	mi	242
觅	mi	390
弥	mi	422
谜	mi	529
秘	mi	609
蜜	mi	870
咪	mi	1406
密	mi	2338
迷	mi	3704
米	mi	15996
麪	mian	1
葂	mian	1
靦	mian	1
蝒	mian	1
矏	mian	1
緜	mian	1
愐	mian	1
矊	mian	2
麺	mian	2
櫋	mian	2
渑	mian	2
鮸	mian	3
媔	mian	4
偭	mian	5
喕	mian	5
丏	mian	5
湎	mian	5
綿	mian	6
緬	mian	7
俛	mian	8
娩	mian	12
麵	mian	13
腼	mian	13
沔	mian	25
婂	mian	25
眄	mian	26
冕	mian	84
勉	mian	153
缅	mian	167
绵	mian	397
眠	mian	546
棉	mian	1232
免	mian	2805
面	mian	13023
鱙	miao	1
篎	miao	1
竗	miao	1
媌	miao	1
訬	miao	2
緲	miao	3
嫹	miao	5
廟	miao	10
杪	miao	14
眇	miao	23
鹋	miao	26
缈	miao	43
藐	miao	51
邈	miao	63
缪	miao	117
渺	miao	143
淼	miao	224
描	miao	311
瞄	miao	527
喵	miao	696
庙	miao	1053
妙	miao	1375
苗	miao	1723
秒	miao	5204
鱴	mie	1
薎	mie	1
幭	mie	1
衊	mie	1
懱	mie	1
蠛	mie	5
搣	mie	6
篾	mie	22
滅	mie	33
蔑	mie	60
乜	mie	2194
灭	mie	3027
咩	mie	8192
簢	min	1
痻	min	1
刡	min	1
怋	min	1
琝	min	1
錉	min	1
蠠	min	1
鈱	min	1
罠	min	1
黽	min	1
暋	min	2
僶	min	3
鳘	min	3
閩	min	3
緡	min	4
敯	min	4
潣	min	4
閔	min	5
苠	min	5
崏	min	6
旼	min	7
湣	min	11
笢	min	12
黾	min	19
玟	min	19
缗	min	20
愍	min	26
敃	min	29
憫	min	31
悯	min	51
岷	min	61
皿	min	74
泯	min	101
旻	min	121
抿	min	143
珉	min	159
闽	min	387
