# Rime user dictionary
#@/db_name	young_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3923
#@/user_id	rime-android
a 	啊	c=2 d=0.636468 t=3923
da xie zi mu 	大写字母	c=2 d=0.107719 t=3923
da xue 	大学	c=1 d=0.767206 t=3923
da xun huan 	大循环	c=1 d=8.02792e-05 t=3923
da yi 	打一	c=0 d=0.000267181 t=3923
da yi miao 	打疫苗	c=1 d=0.0026189 t=3923
da yi xia 	打一下	c=1 d=0.00644146 t=3923
da yi zhen 	打一针	c=1 d=0.0026852 t=3923
da yin 	打印	c=4 d=0.220425 t=3923
da you xi 	打游戏	c=2 d=0.00360026 t=3923
da yu 	大于	c=1 d=0.00179994 t=3923
da zhi hui 	大智慧	c=1 d=0.937067 t=3923
da zi 	打字	c=1 d=0.677057 t=3923
da zi le 	打字乐	c=1 d=0.460704 t=3923
dai 	带	c=1 d=4.60939e-07 t=3923
dai 	待	c=1 d=0.478772 t=3923
dai 	戴	c=1 d=0.0135686 t=3923
dai da 	代打	c=1 d=0.00251621 t=3923
dai li 	代理	c=2 d=0.0193164 t=3923
dai ma 	代码	c=8 d=0.993046 t=3923
dai ti 	代替	c=1 d=0.366045 t=3923
dai wo 	带我	c=0 d=0.00342181 t=3923
dai yi ge 	带一个	c=1 d=0.263158 t=3923
dai zhe 	待着	c=1 d=0.0871609 t=3923
dan 	但	c=5 d=0.301013 t=3923
dan chun 	单纯	c=1 d=0.000907334 t=3923
dan du 	单独	c=2 d=0.745224 t=3923
dan shi 	但是	c=1 d=0.0581343 t=3923
dan xiang 	但想	c=1 d=0.045502 t=3923
dan xin 	担心	c=0 d=0.00939493 t=3923
dan zi 	胆子	c=0 d=0.0687289 t=3923
dang 	党	c=0 d=0.00116786 t=3923
dang 	当	c=2 d=0.0637628 t=3923
dang qian 	当前	c=4 d=0.0456995 t=3923
dang qian ye 	当前页	c=2 d=0.00872258 t=3923
dang ran 	当然	c=1 d=1.04404e-07 t=3923
dang shi 	当时	c=2 d=0.0156545 t=3923
dang tian 	当天	c=4 d=0.150448 t=3923
dang ya zi 	当鸭子	c=1 d=0.640824 t=3923
dao 	到	c=8 d=0.593883 t=3923
dao chu 	导出	c=3 d=0.00852271 t=3923
dao gu 	捣鼓	c=1 d=0.701173 t=3923
dao hai hao 	到还好	c=1 d=0.562705 t=3923
dao jia 	到家	c=1 d=0.00980366 t=3923
dao le 	到了	c=1 d=0.955997 t=3923
dao na 	到哪	c=1 d=0.527292 t=3923
dao ru 	导入	c=0 d=1.24349e-06 t=3923
dao shi 	倒是	c=1 d=0.412714 t=3923
dao shi hou 	到时候	c=2 d=0.847894 t=3923
dao zhe 	到这	c=1 d=1.06495e-05 t=3923
dao zhi 	导致	c=5 d=0.494109 t=3923
de 	的	c=192 d=10.8432 t=3923
de ba 	的吧	c=1 d=9.51715e-07 t=3923
de di fang 	的地方	c=1 d=0.904837 t=3923
de guo 	的锅	c=1 d=0.00143012 t=3923
de hao 	的号	c=1 d=0.00451658 t=3923
de hua 	的话	c=3 d=0.980933 t=3923
de le 	得了	c=1 d=0.45612 t=3923
de le 	的了	c=1 d=0.458406 t=3923
de ma 	的吗	c=5 d=0.436443 t=3923
de shi hou 	的时候	c=1 d=0.955997 t=3923
de wo 	得我	c=0 d=0.1 t=3708
de ya 	的呀	c=1 d=0.0850088 t=3923
dei 	得	c=4 d=0.859343 t=3923
dei ba 	得吧	c=1 d=0.00120052 t=3923
den 	扽	c=0 d=0.001649 t=3923
den san kai fan dan 	扽散开反弹	c=1 d=0.0165727 t=3923
deng 	等	c=0 d=0.1 t=3708
deng bu shang 	登不上	c=1 d=0.946485 t=3923
deng dai 	等待	c=1 d=1 t=3765
deng dao 	等到	c=1 d=7.50456e-06 t=3923
deng de wo hua dou xie le 	等得我花都谢了	c=1 d=1 t=3709
deng hao lei 	等好嘞	c=1 d=0.0668703 t=3923
deng hui er 	等会儿	c=4 d=0.744532 t=3923
deng lu 	登录	c=3 d=0.704688 t=3923
deng wo 	等我	c=9 d=0.0266933 t=3923
deng xia 	等下	c=2 d=0.0647951 t=3923
deng yu 	等于	c=1 d=0.891366 t=3923
deng zhe 	等着	c=1 d=7.375e-07 t=3923
di 	滴	c=1 d=0.532592 t=3923
di 	第	c=1 d=0.13332 t=3923
di dai 	地带	c=0 d=4.41647e-05 t=3923
di di 	弟弟	c=1 d=0.790571 t=3923
di er dian 	第二点	c=1 d=0.00318278 t=3923
di er ge 	第二个	c=1 d=4.70171e-05 t=3923
di er tiao 	第二条	c=1 d=1.42691e-06 t=3923
di fang 	地方	c=3 d=0.688021 t=3923
di guo 	帝国	c=2 d=0.965605 t=3923
di guo shi dai 	帝国时代	c=1 d=0.0199405 t=3923
di mao 	地貌	c=0 d=0.025284 t=3923
di san ming 	第三名	c=1 d=0.0333733 t=3923
di su 	低俗	c=1 d=0.198891 t=3923
di su 	低速	c=1 d=0.197899 t=3923
di yi 	第一	c=1 d=0.0278757 t=3923
di yi ci 	第一次	c=1 d=8.23115e-05 t=3923
di yi dian 	第一点	c=1 d=0.0031354 t=3923
di yi ge 	第一个	c=1 d=0.000293099 t=3923
di zhi 	地址	c=3 d=0.852493 t=3923
dian 	点	c=5 d=1.3746 t=3923
dian ji 	点击	c=3 d=0.0248475 t=3923
dian ma 	点吗	c=0 d=0.0449329 t=3923
dian nao 	电脑	c=3 d=0.453845 t=3923
dian shang 	电商	c=1 d=0.540641 t=3923
dian ying 	电影	c=1 d=0.062662 t=3923
dian zan 	点赞	c=7 d=0.0360811 t=3923
diao 	掉	c=4 d=0.824376 t=3923
diao 	调	c=1 d=0.0136905 t=3923
diao du 	调度	c=1 d=1.51907e-07 t=3923
diao jie kou 	调接口	c=1 d=0.0675424 t=3923
diao yan 	调研	c=1 d=0.111359 t=3923
diao yi xia 	调一下	c=1 d=0.0695994 t=3923
diao yong 	调用	c=4 d=0.588605 t=3923
die le 	跌了	c=1 d=8.69654e-05 t=3923
ding 	定	c=0 d=0.02334 t=3923
ding de 	定的	c=1 d=4.18083e-06 t=3923
ding duo 	顶多	c=1 d=0.0254765 t=3923
ding shi 	定时	c=3 d=0.350219 t=3923
ding wei 	定位	c=1 d=5.28837e-06 t=3923
ding yi 	定义	c=2 d=0.766561 t=3923
ding yi ge 	定一个	c=1 d=0.23457 t=3923
ding zhi 	定制	c=1 d=0.131336 t=3923
dong 	懂	c=0 d=0.0666977 t=3923
dong de 	懂的	c=0 d=0.0585669 t=3923
dong de dou dong 	懂的都懂	c=1 d=0.588605 t=3923
dong man 	动漫	c=1 d=0.331211 t=3923
dong nan ya 	东南亚	c=1 d=0.0992613 t=3923
dong tai 	动态	c=1 d=7.85131e-08 t=3923
dong tu 	动图	c=1 d=8.5464e-06 t=3923
dong xi 	东西	c=4 d=1.45101 t=3923
dou 	都	c=19 d=4.28316 t=3923
dou ban 	豆瓣	c=2 d=0.0062865 t=3923
dou bu cuo 	都不错	c=1 d=0.680451 t=3923
dou dei 	都得	c=1 d=4.25428e-05 t=3923
dou di 	兜底	c=1 d=3.0057e-06 t=3923
dou dong 	都懂	c=0 d=0.0585669 t=3923
dou fa 	都发	c=0 d=0.0923116 t=3923
dou fa cheng gong 	都发成功	c=1 d=0.927743 t=3923
dou hai 	都还	c=1 d=0.00759701 t=3923
dou ke yi 	都可以	c=2 d=0.204015 t=3923
dou liu 	逗留	c=1 d=0.701173 t=3923
dou shi 	都是	c=4 d=1.34876 t=3923
dou xiang 	都想	c=1 d=0.116484 t=3923
dou yong 	都用	c=1 d=0.0109436 t=3923
dou zai 	都在	c=1 d=0.396531 t=3923
du 	读	c=1 d=0.00171216 t=3923
du dao 	毒到	c=1 d=0.00489275 t=3923
du liu 	毒瘤	c=1 d=1 t=3728
du qu 	读取	c=1 d=0.951229 t=3923
du zhe 	读者	c=1 d=1.28779e-05 t=3923
